//,icn,inpH,inpW,padH,padW,strideH,strideW,num,group,ocn,outH,outW,kerH,kerW,bias
conv1,3,227,227,0,0,4,4,1,1,96,55,55,11,11,1
relu1,96,55,55,0,0,1,1,1,0,96,55,55,0,0,0
pool1,96,55,55,0,0,2,2,1,0,96,27,27,3,3,0
norm1,96,27,27,0,0,1,1,1,0,96,27,27,0,0,0
conv2,96,27,27,2,2,1,1,1,2,256,27,27,5,5,1
relu2,256,27,27,0,0,1,1,1,1,256,27,27,0,0,0
pool2,256,27,27,0,0,2,2,1,0,256,13,13,3,3,0
norm2,256,13,13,0,0,1,1,1,0,256,13,13,0,0,0
conv3,256,13,13,1,1,1,1,1,1,384,13,13,3,3,1
relu3,384,13,13,0,0,1,1,1,0,384,13,13,0,0,0
conv4,384,13,13,1,1,1,1,1,2,384,13,13,3,3,1
relu4,384,13,13,0,0,1,1,1,0,384,13,13,0,0,0
conv5,384,13,13,1,1,1,1,1,2,256,13,13,3,3,1
relu5,256,13,13,0,0,1,1,1,0,256,13,13,0,0,0
pool5,256,13,13,0,0,2,2,1,0,256,6,6,3,3,0
fc6,256,6,6,0,0,0,0,1,0,4096,1,1,0,0,1
relu6,4096,1,1,0,0,0,0,1,0,4096,1,1,0,0,0
fc7,4096,1,1,0,0,0,0,1,0,4096,1,1,0,0,1
relu7,4096,1,1,0,0,0,0,1,0,4096,1,1,0,0,0
fc8,4096,1,1,0,0,0,0,1,0,14,1,1,0,0,1
sigmoid,14,1,1,0,0,0,0,0,0,14,1,1,0,0,0
