LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total,dataset_name
0.73,48.00,0.98,32.00,0.49,16.00,0.0005097,4008,4008,4008,1,2,1,1,1,4,190181,33103,80168,1067185,475948,40571320,1253402,43671307,poli
0.62,40.00,0.99,32.00,0.25,8.00,0.0012174,2028,2028,2028,1,4,1,1,1,4,133473,19582,1180,282308,126236,10597314,325625,11485718,S40PI_n1
0.74,48.00,0.98,32.00,0.49,16.00,0.0006118,4028,4028,4028,1,2,1,1,1,4,151846,35464,3981,1101294,500953,41378585,1281255,44453378,S80PI_n1
0.73,48.00,0.98,32.00,0.49,16.00,0.0018335,4000,4000,4000,1,2,1,1,1,4,151444,35665,3950,1065292,488713,40460007,1233151,43438222,ACTIVSg2000
0.59,38.00,0.88,28.00,0.29,9.00,0.0049285,2410,2410,2410,1,3,1,1,1,4,132394,22102,1752,455198,207600,14780687,466698,16066431,ex10
0.72,46.00,0.95,31.00,0.48,15.00,0.0075494,3909,3909,3909,1,2,1,1,1,4,151826,34802,3881,1068823,486951,39041769,1192956,41981008,ex31
0.63,41.00,0.95,31.00,0.32,10.00,0.0113230,2597,2597,2597,1,3,1,1,1,4,133484,23673,1850,490062,209672,17441076,532885,18832702,cavity10
0.59,38.00,0.78,25.00,0.39,12.00,0.0018438,3200,3200,3200,1,2,1,1,1,4,43296,30452,3190,880665,391669,26297039,854659,28500970,rdb3200l
0.56,36.00,0.75,24.00,0.37,12.00,0.0020837,3057,3057,3057,1,2,1,1,1,4,33907,28303,3000,815384,363386,23879644,765051,25888675,reorientation_7
0.73,48.00,0.98,32.00,0.49,16.00,0.0005490,4000,4000,4000,1,2,1,1,1,4,41942,35084,3821,1065640,476442,40468079,1238122,43329130,tols4000
