LMM_usage_rate,LMM_usage_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
1.00,65.00,0.0,1024,1024,1024,1024,4,8,0,4,4,206633,9803883,83310,18554611,5524281,178652338,19201187,232026243
1.00,65.00,0.1,1024,1024,1024,1024,4,8,0,4,4,155660,9835312,14541,14835890,4427244,149562977,15994278,194825902
1.00,65.00,0.2,1024,1024,1024,1024,4,8,0,4,4,155089,9835336,14621,14824006,4418392,149574975,16006194,194828613
1.00,65.00,0.3,1024,1024,1024,1024,4,8,0,4,4,120349,9820023,10831,11120204,3312034,120637517,12768099,157789057
1.00,65.00,0.4,1024,1024,1024,1024,4,8,0,4,4,122610,9824877,10832,11119038,3311726,120700547,12748702,157838332
1.00,65.00,0.5,1024,1024,1024,1024,4,8,0,4,4,120802,9827037,10891,11110118,3311826,101749156,10917004,137046834
1.00,65.00,0.6,1024,1024,1024,1024,4,8,0,4,4,83812,9803026,7201,7415049,2225175,72662368,7505277,99701908
1.00,65.00,0.7,1024,1024,1024,1024,4,8,0,4,4,83010,9806033,7301,7408482,2214166,72670316,7503719,99693027
1.00,65.00,0.8,1024,1024,1024,1024,4,8,0,4,4,45245,9726915,3622,3697963,1108503,6388287,3252471,24223006
1.00,65.00,0.9,1024,1024,1024,1024,4,8,0,4,4,67510,9779182,3581,3710512,1102694,6391278,3253228,24307985
1.00,65.00,0.0,512,512,512,512,8,16,0,4,4,43643,2450988,3800,3712101,1107233,12415368,2478479,22211612
1.00,65.00,0.1,512,512,512,512,8,16,0,4,4,26563,2454039,1870,1850357,552896,2621746,2125375,9632846
1.00,65.00,0.2,512,512,512,512,8,16,0,4,4,27614,2451780,1910,1860578,553096,2687372,2126785,9709135
1.00,65.00,0.3,512,512,512,512,8,16,0,4,4,26692,2454739,1910,1863679,554537,2325765,1621675,8848997
1.00,65.00,0.4,512,512,512,512,8,16,0,4,4,26324,2452908,1931,1849617,559527,2472901,1866558,9229766
1.00,65.00,0.5,512,512,512,512,8,16,0,4,4,26841,2453939,1881,1849787,553187,2329725,1622046,8837406
1.00,65.00,0.6,512,512,512,512,8,16,0,4,4,25522,2453129,1900,1849218,555176,2050658,1108332,8043935
1.00,65.00,0.7,512,512,512,512,8,16,0,4,4,26582,2451879,1880,1854247,554067,2032506,1108073,8029234
1.00,65.00,0.8,512,512,512,512,8,16,0,4,4,26443,2439398,1790,1877420,552206,1736655,620283,7254195
1.00,65.00,0.9,512,512,512,512,8,16,0,4,4,26212,2453809,1910,1850389,570158,1738695,619103,7260276
0.66,43.00,0.0,256,256,256,256,5,32,0,4,4,16420,616373,960,924343,277678,766939,369848,2972561
0.66,43.00,0.1,256,256,256,256,5,32,0,4,4,16493,620444,1160,924151,277770,708152,308690,2856860
0.66,43.00,0.2,256,256,256,256,5,32,0,4,4,15692,619502,990,942026,276098,695920,308892,2859120
0.66,43.00,0.3,256,256,256,256,5,32,0,4,4,16151,619853,990,924114,277756,624525,244495,2707884
0.66,43.00,0.4,256,256,256,256,5,32,0,4,4,15901,619164,991,924371,290922,619470,244526,2715345
0.66,43.00,0.5,256,256,256,256,5,32,0,4,4,15822,619962,1010,924624,277030,620691,244585,2703724
0.66,43.00,0.6,256,256,256,256,5,32,0,4,4,14872,619422,1010,926644,275339,563817,174077,2575181
0.66,43.00,0.7,256,256,256,256,5,32,0,4,4,14911,620733,1031,925094,277957,549096,175938,2564760
0.66,43.00,0.8,256,256,256,256,5,32,0,4,4,15192,618733,1041,926614,275218,479457,113142,2429397
0.66,43.00,0.9,256,256,256,256,5,32,0,4,4,14183,618701,900,924933,276658,479820,112891,2428086
0.30,19.00,0.0,128,128,128,128,3,32,0,4,4,8981,161576,470,469489,138734,234713,75118,1089081
0.30,19.00,0.1,128,128,128,128,3,32,0,4,4,7860,162747,450,463057,138244,206002,56705,1035065
0.30,19.00,0.2,128,128,128,128,3,32,0,4,4,7620,163487,470,463077,138685,205800,56536,1035675
0.30,19.00,0.3,128,128,128,128,3,32,0,4,4,7950,163146,430,461937,140335,205671,56406,1035875
0.30,19.00,0.4,128,128,128,128,3,32,0,4,4,7670,162926,470,479658,138625,206561,56736,1052646
0.30,19.00,0.5,128,128,128,128,3,32,0,4,4,7610,162627,440,463337,137685,207050,56576,1035325
0.30,19.00,0.6,128,128,128,128,3,32,0,4,4,7492,162716,440,462656,137826,188818,44244,1004192
0.30,19.00,0.7,128,128,128,128,3,32,0,4,4,8050,162337,430,462788,138004,189319,44264,1005192
0.30,19.00,0.8,128,128,128,128,3,32,0,4,4,7622,160606,530,463076,144966,188588,44334,1009722
0.30,19.00,0.9,128,128,128,128,3,32,0,4,4,7522,162826,470,467397,139046,189128,44284,1010673
0.08,5.00,0.0,64,64,64,64,2,16,0,4,4,5810,48385,240,231743,68867,114772,22363,492180
0.08,5.00,0.1,64,64,64,64,2,16,0,4,4,5620,50286,230,232553,69107,105371,16491,479658
0.08,5.00,0.2,64,64,64,64,2,16,0,4,4,5760,50415,220,231834,69588,121111,22373,501301
0.08,5.00,0.3,64,64,64,64,2,16,0,4,4,5831,50825,230,231753,69378,105541,16261,479819
0.08,5.00,0.4,64,64,64,64,2,16,0,4,4,5730,50525,210,231653,69097,107892,16441,481548
0.08,5.00,0.5,64,64,64,64,2,16,0,4,4,5550,50735,230,232193,68608,107011,16201,480528
0.08,5.00,0.6,64,64,64,64,2,16,0,4,4,5610,50795,230,231374,68836,108932,16252,482029
0.08,5.00,0.7,64,64,64,64,2,16,0,4,4,5480,50656,230,231733,69977,106511,16262,480849
0.08,5.00,0.8,64,64,64,64,2,16,0,4,4,5610,48064,210,232044,69037,107831,16342,479138
0.08,5.00,0.9,64,64,64,64,2,16,0,4,4,5722,50464,230,231253,69338,106491,16401,479899
0.02,1.00,0.0,32,32,32,32,1,8,0,4,4,4621,33033,110,116342,34713,86449,7961,283229
0.02,1.00,0.1,32,32,32,32,1,8,0,4,4,4660,33444,120,116352,34654,86778,8051,284059
0.02,1.00,0.2,32,32,32,32,1,8,0,4,4,4591,33423,120,116282,34753,86519,8121,283809
0.02,1.00,0.3,32,32,32,32,1,8,0,4,4,4460,33694,110,116322,34384,86648,8041,283659
0.02,1.00,0.4,32,32,32,32,1,8,0,4,4,4380,33383,110,115922,34583,86699,8061,283138
0.02,1.00,0.5,32,32,32,32,1,8,0,4,4,4411,33483,110,115972,34743,87339,8061,284119
0.02,1.00,0.6,32,32,32,32,1,8,0,4,4,4410,33695,120,115811,35114,85989,8050,283189
0.02,1.00,0.7,32,32,32,32,1,8,0,4,4,4441,33383,110,116022,34113,87519,8161,283749
0.02,1.00,0.8,32,32,32,32,1,8,0,4,4,4440,33334,120,115972,34584,87138,8051,283639
0.02,1.00,0.9,32,32,32,32,1,8,0,4,4,4410,33375,120,116211,34254,86729,8040,283139
